Date,Description,Category,Amount,Type
21-10-2018,Dosa Foodpanda,OutsideFood,93,Debit
21-10-2018,Swiggy Thickshake,OutsideFood,101,Debit
21-10-2018,Swiggy chole bhatura,OutsideFood,55,Debit
22-10-2018,Auto,Transport,40,Debit
22-10-2018,Chocolate muffin,Snacks,16,Debit
22-10-2018,Sardarji Swiggy,OutsideFood,70,Debit
22-10-2018,Sambhar Vada ,OutsideFood,35,Debit
22-10-2018,Lunch,OutsideFood,70,Debit
23-10-2018,Swiggy Dinner,OutsideFood,61,Debit
23-10-2018,CutFruits office,Snacks,20,Debit
23-10-2018,Dinner Swiggy,OutsideFood,98,Debit
23-10-2018,Thickshake Swiggy,OutsideFood,110,Debit
23-10-2018,Auto,Transport,40,Debit
23-10-2018,Fruit cake,Snacks,25,Debit
23-10-2018,Chocolate muffin,Snacks,16,Debit
23-10-2018,Masala Dosa,OutsideFood,35,Debit
24-10-2018,Maggi,Snacks,24,Debit
24-10-2018,Bathing soap,DailyNeeds,45,Debit
24-10-2018,Triptify Swiggy,OutsideFood,70,Debit
24-10-2018,Echo Dot Speaker,Shopping,2999,Debit
24-10-2018,Auto,Transport,40,Debit
24-10-2018,Idli office,Snacks,25,Debit
24-10-2018,Home stuff,Shopping,150,Debit
24-10-2018,Keyboard Mouse Wireless,Shopping,1899,Debit
25-10-2018,CutFruits office,Snacks,20,Debit
25-10-2018,Daab,Grocery,25,Debit
25-10-2018,Swiggy Hyperlocal,OutsideFood,225,Debit
25-10-2018,Auto,Transport,40,Debit
25-10-2018,Bonda,OutsideFood,15,Debit
26-10-2018,Swiggy Sardarji,OutsideFood,116,Debit
26-10-2018,Swiggy Thickshake,OutsideFood,113,Debit
26-10-2018,Triptify Swiggy,OutsideFood,84,Debit
26-10-2018,Auto,Transport,40,Debit
26-10-2018,Chocolate,Snacks,20,Debit
26-10-2018,Lunch office,OutsideFood,40,Debit
28-10-2018,Swiggy Burger,OutsideFood,74,Debit
28-10-2018,Surf,DailyNeeds,58,Debit
28-10-2018,Grocery,Grocery,180,Debit
28-10-2018,Stuff for Others,Friends,100,Debit
28-10-2018,Bicycle rent cycle park,Entertainment,100,Debit
28-10-2018,Swiggy Breakfast,OutsideFood,90,Debit
28-10-2018,Ola Bike,Transport,41,Debit
28-10-2018,Auto,Transport,40,Debit
29-10-2018,Lunch office,OutsideFood,40,Debit
29-10-2018,Colddrink,Snacks,20,Debit
29-10-2018,Swiggy Thickshake,OutsideFood,94,Debit
29-10-2018,Lunch,OutsideFood,40,Debit
29-10-2018,Auto,Transport,40,Debit
30-10-2018,Snacks,Snacks,45,Debit
30-10-2018,Abhishika,Friends,25,Debit
30-10-2018,Toothpaste,DailyNeeds,170,Debit
30-10-2018,Daab,Grocery,25,Debit
30-10-2018,Lunch,OutsideFood,40,Debit
30-10-2018,Swiggy Dinner ,OutsideFood,64,Debit
30-10-2018,Rapido,Transport,44,Debit
30-10-2018,Auto,Transport,10,Debit
30-10-2018,Swiggy Thickshake,OutsideFood,75,Debit
31-10-2018,Rent + Maintenance,Utilities,10000,Debit
31-10-2018,BOB Education Loan Recovery,DebtRepay,4010,Debit
31-10-2018,Lunch aloo paratha,OutsideFood,55,Debit
31-10-2018,Swiggy Rice bowl,OutsideFood,97,Debit
31-10-2018,Auto,Transport,10,Debit
31-10-2018,Rapido,Transport,44,Debit
